model,metrics_source,test_accuracy,test_precision,test_recall,test_f1,macro_precision,macro_recall,macro_f1,misinformation_precision,misinformation_recall,misinformation_f1,reliable_precision,reliable_recall,reliable_f1,dev_accuracy,dev_precision,dev_recall,dev_f1
TF-IDF + Logistic Regression,recalculated_from_prediction_csv,0.7205770690964313,0.7932960893854749,0.7208121827411168,0.7553191489361702,0.7136197585030536,0.720519512920653,0.7148277160610055,0.6339434276206323,0.720226843100189,0.6743362831858407,0.7932960893854749,0.7208121827411168,0.7553191489361702,0.7227204783258595,0.7808564231738035,0.758873929008568,0.7697082557417753
BioBERT,recalculated_from_prediction_csv,0.7562642369020501,0.7944514501891551,0.799492385786802,0.7969639468690702,0.7464623663159515,0.7456819206816807,0.7460603210128827,0.6984732824427481,0.6918714555765595,0.6951566951566952,0.7944514501891551,0.799492385786802,0.7969639468690702,0.7638266068759342,0.7929824561403509,0.8298653610771114,0.8110047846889952
PubMedBERT,recalculated_from_prediction_csv,0.7403189066059226,0.7989276139410187,0.7563451776649747,0.7770534550195567,0.7313377123995812,0.7363956512143399,0.7330721820552328,0.6637478108581436,0.7164461247637051,0.6890909090909091,0.7989276139410187,0.7563451776649747,0.7770534550195567,0.7608370702541106,0.8019441069258809,0.8078335373317014,0.8048780487804879
Majority Vote,recalculated_from_prediction_csv,0.7539863325740319,0.8101604278074866,0.7690355329949239,0.7890625,0.7451505126735148,0.7503022655522824,0.7469902663934427,0.680140597539543,0.7315689981096408,0.7049180327868853,0.8101604278074866,0.7690355329949239,0.7890625,,,,
